Sum of pageranks: 0.9999999999990927
[key: pagerank] = [2: 0.29485096408856787]
[key: pagerank] = [1: 0.21152525943685335]
[key: pagerank] = [38: 0.017941192490926156]
[key: pagerank] = [4: 0.016255880286499484]
[key: pagerank] = [14: 0.00897188585608869]
[key: pagerank] = [22: 0.0069915667883262405]
[key: pagerank] = [7: 0.006069052567197]
[key: pagerank] = [17: 0.006069052567197]
[key: pagerank] = [32: 0.004303229423861348]
[key: pagerank] = [80: 0.004090423749425612]
[key: pagerank] = [170: 0.003679218472134785]
----------------------------------------------------
[key: pagerank] = [40: 0.003396795931380922]
[key: pagerank] = [34: 0.0031998617668048536]
[key: pagerank] = [862: 0.0031889124800530146]
[key: pagerank] = [4322: 0.00307369062077552]
[key: pagerank] = [0: 0.0029009034024563706]
[key: pagerank] = [4790: 0.0029000625903501877]
[key: pagerank] = [82: 0.002898988216763455]
[key: pagerank] = [10: 0.0027900483085774638]
[key: pagerank] = [76: 0.0027684773676716597]
[key: pagerank] = [3458: 0.0027402203437696124]
[key: pagerank] = [44: 0.0026567073539180207]
[key: pagerank] = [290: 0.0026333900207712846]
[key: pagerank] = [578: 0.0025988255756700432]
[key: pagerank] = [56: 0.002478515147334864]
[key: pagerank] = [17318: 0.002357449672214237]
[key: pagerank] = [5798: 0.0022711069432245663]
[key: pagerank] = [64: 0.0019883099238435704]
[key: pagerank] = [11: 0.0018270755339885557]
[key: pagerank] = [25: 0.0018270755339885557]
[key: pagerank] = [12278: 0.0016958538569878615]
[key: pagerank] = [86: 0.0016861023357773054]
[key: pagerank] = [16: 0.0016481490897162143]
[key: pagerank] = [8: 0.001632308803133069]
[key: pagerank] = [286: 0.001612486417844296]
[key: pagerank] = [106: 0.0015196869932695414]
[key: pagerank] = [758: 0.0014876862468565376]
[key: pagerank] = [1442: 0.0014149424972548894]
[key: pagerank] = [610: 0.0013044568672175418]
[key: pagerank] = [98: 0.0012670518084031757]
[key: pagerank] = [392: 0.0012583148385499287]
[key: pagerank] = [3062: 0.0012362833472812]
[key: pagerank] = [1126: 0.001214356834798306]
[key: pagerank] = [148: 0.0012049061377188922]
[key: pagerank] = [182: 0.0011923506577813097]
[key: pagerank] = [19190: 0.0011662074053355226]
[key: pagerank] = [164: 0.0011052874163698177]
[key: pagerank] = [202: 0.001097653755161525]
[key: pagerank] = [212: 0.0010662264409806884]
[key: pagerank] = [28: 0.001056416883852388]
[key: pagerank] = [124: 9.448654695735736E-4]
[key: pagerank] = [116: 9.220875769882083E-4]
[key: pagerank] = [31: 8.870030300405124E-4]
[key: pagerank] = [65: 8.870030300405124E-4]
[key: pagerank] = [83: 8.461727498369727E-4]
[key: pagerank] = [169: 8.461727498369727E-4]
[key: pagerank] = [40358: 7.874447686561777E-4]
[key: pagerank] = [314: 7.62410194615534E-4]
[key: pagerank] = [67: 7.582013722315862E-4]
[key: pagerank] = [137: 7.582013722315862E-4]
[key: pagerank] = [122: 7.380007487670006E-4]
[key: pagerank] = [128: 7.107640299281658E-4]
[key: pagerank] = [460: 7.056659965928204E-4]
[key: pagerank] = [4156: 6.966683315148954E-4]
[key: pagerank] = [292: 6.710587115310865E-4]
[key: pagerank] = [464: 6.667485486556061E-4]
[key: pagerank] = [538: 6.624275080111172E-4]
[key: pagerank] = [224: 6.621268719761804E-4]
[key: pagerank] = [47: 6.537006399710147E-4]
[key: pagerank] = [97: 6.537006399710147E-4]
[key: pagerank] = [6490: 6.262694177216526E-4]
[key: pagerank] = [10598: 6.25601129368381E-4]
[key: pagerank] = [175: 6.066254434915826E-4]
[key: pagerank] = [353: 6.066254434915826E-4]
[key: pagerank] = [500: 6.049330872470592E-4]
[key: pagerank] = [232: 6.03291304478492E-4]
[key: pagerank] = [2408: 5.994092914143262E-4]
[key: pagerank] = [160: 5.971148883821438E-4]
[key: pagerank] = [3: 5.96542488615702E-4]
[key: pagerank] = [9: 5.96542488615702E-4]
[key: pagerank] = [427: 5.723004619063292E-4]
[key: pagerank] = [857: 5.723004619063292E-4]
[key: pagerank] = [208: 5.641555409700234E-4]
[key: pagerank] = [190: 5.433077133289423E-4]
[key: pagerank] = [58: 5.40483630242297E-4]
